density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num,deformation_modulus(-),silo_FoS(-),stability_class
1.6e-09,30,0.2,32.5,16.25,0.05,0.0178377040498762,0.00650551559466074,0.00194807,2.28786e-06,64,1.033738155816053,1.195732251930605,STABLE
1.6e-09,30,0.2,32.5,22.75,0.0008,0.158650638373017,5.94939893898812,0.953178,2.97803e-07,65,104.13594131839548,1.2509168547679945,GENERAL FAILURE
1.6e-09,30,0.2,32.5,22.75,0.0131,0.012591320505795,0.255603806267638,0.0178002,2.62154e-08,66,1.3740254690268696,1.3670584783129343,STABLE
1.6e-09,30,0.2,32.5,22.75,0.0254,0.0140603078981377,0.0845717027305895,0.00823077,1.12612e-07,67,1.1247805784789433,1.2977335215702193,STABLE
1.6e-09,30,0.2,32.5,22.75,0.0377,0.0165785719992967,0.0323177226315404,0.00417411,4.02297e-07,68,1.0568787796267483,1.1770354094851276,STABLE
1.6e-09,30,0.2,32.5,22.75,0.05,0.0169982826828232,0.00734493696171373,0.00205238,6.16816e-07,69,1.0337538266673922,1.1984003781404864,STABLE
1.6e-09,30,0.2,32.5,29.25,0.0008,0.230631020597811,4.62479202177849,1.34269,9.98096e-08,70,135.2060159066605,1.2835310713768855,GENERAL FAILURE
1.6e-09,30,0.2,32.5,29.25,0.0131,0.00986320106287273,0.26735570540638,0.0239278,2.87443e-08,71,1.363113332877763,1.4105474574033965,STABLE
1.6e-09,30,0.2,32.5,29.25,0.0254,0.0138504525563745,0.0868801114899853,0.010053,1.86464e-07,72,1.1192435443391382,1.277609798729753,STABLE
1.6e-09,30,0.2,32.5,29.25,0.0377,0.0161588613157702,0.0331571439985934,0.00457434,1.14917e-07,73,1.0547318729932953,1.2006118295101524,STABLE
1.6e-09,30,0.2,32.5,29.25,0.05,0.0172081380245865,0.00881392435405648,0.00216154,9.7003e-07,74,1.0333933970865936,1.2003229014870045,STABLE
1.6e-09,30,0.2,38.75,3.875,0.0008,0.0113321884552155,0.878874171304489,0.0181439,6.87493e-09,75,2.172953055589203,1.4842570825756223,STABLE
1.6e-09,30,0.2,38.75,3.875,0.0131,0.0130110311893215,0.177117908448183,0.00954494,8.87054e-08,76,1.439636587537838,1.3691152677419252,STABLE
1.6e-09,30,0.2,38.75,3.875,0.0254,0.0140603078981377,0.0606481937695791,0.00544859,1.4041e-07,77,1.2273190639017377,1.2318948602622455,STABLE
1.6e-09,30,0.2,38.75,3.875,0.0377,0.0188869807586925,0.0207756788345617,0.00321286,1.94945e-06,78,1.1667037815730281,1.1478600548045588,STABLE
1.6e-09,30,0.2,38.75,3.875,0.05,0.01678842734106,0.00272811944292224,0.00168005,2.87263e-06,79,1.1447730712249469,1.2593027808064952,STABLE
1.6e-09,30,0.2,38.75,11.625,0.0008,0.0119617544805052,1.29333847128691,0.0335273,2.53545e-08,80,2.8925739507228894,1.4718649336686345,STABLE
1.6e-09,30,0.2,38.75,11.625,0.0131,0.0123814651640317,0.188240241561635,0.010729,5.47555e-08,81,1.4339481705281811,1.425484814218961,STABLE
1.6e-09,30,0.2,38.75,11.625,0.0254,0.01678842734106,0.0625368918454484,0.00581606,3.8809e-07,82,1.2266518009094025,1.2822727605683368,STABLE
1.6e-09,30,0.2,38.75,11.625,0.0377,0.0165785719992967,0.0245530749863002,0.00339078,1.75365e-07,83,1.1675211787386386,1.1766145841280478,STABLE
1.6e-09,30,0.2,38.75,11.625,0.05,0.0172081380245865,0.00419710683526499,0.00180805,6.45174e-07,84,1.1456849973144716,1.2665001174437056,STABLE
1.6e-09,30,0.2,38.75,19.375,0.0008,0.0115420437969787,1.73151642488857,0.0562614,3.75238e-09,85,4.41693625671248,1.4978575947038528,STABLE
1.6e-09,30,0.2,38.75,19.375,0.0131,0.0130110311893215,0.194535901814532,0.0124742,6.82336e-08,86,1.4247844254334456,1.4825413701048047,STABLE
1.6e-09,30,0.2,38.75,19.375,0.0254,0.0165785719992967,0.0656847219718971,0.00631876,1.6392e-07,87,1.2240772778639764,1.3359502648257529,STABLE
1.6e-09,30,0.2,38.75,19.375,0.0377,0.015949005974007,0.0260220623786429,0.00358348,2.5394e-07,88,1.1674711340142132,1.2738877783208624,STABLE
1.6e-09,30,0.2,38.75,19.375,0.05,0.0169982826828232,0.00608580491113424,0.00192429,9.01969e-08,89,1.1462132471834034,1.248317383980855,STABLE
1.6e-09,30,0.2,38.75,27.125,0.0008,0.0186771254169292,2.62487061477472,0.183526,3.39525e-08,90,16.858065869850734,1.4910166712866406,GENERAL FAILURE
1.6e-09,30,0.2,38.75,27.125,0.0131,0.0123814651640317,0.20020199604214,0.0154877,8.34674e-09,91,1.4113279550880204,1.5429961577581521,STABLE
1.6e-09,30,0.2,38.75,27.125,0.0254,0.015109584606954,0.0696719734653988,0.00709875,1.44388e-07,92,1.2190672448965267,1.3971046378069083,STABLE
1.6e-09,30,0.2,38.75,27.125,0.0377,0.018467270075166,0.0277009051127489,0.00381429,4.29455e-07,93,1.166225576428521,1.3107612307885312,STABLE
1.6e-09,30,0.2,38.75,27.125,0.05,0.0163687166575335,0.00755479230347698,0.00203694,6.10373e-07,94,1.146279973482637,1.2530085478416721,STABLE
1.6e-09,30,0.2,38.75,34.875,0.0008,0.118148557412709,2.57954186095386,0.835817,3.59853e-06,95,87.31914728196152,1.5878269508823577,GENERAL FAILURE
1.6e-09,30,0.2,38.75,34.875,0.0131,0.0115420437969787,0.206497656295038,0.0224736,6.88508e-09,96,1.392121901958641,1.6130334927405487,STABLE
1.6e-09,30,0.2,38.75,34.875,0.0254,0.0155292952904805,0.0711409608577416,0.0086802,1.39908e-07,97,1.2106541706681682,1.4739229962940557,STABLE
1.6e-09,30,0.2,38.75,34.875,0.0377,0.0155292952904805,0.0297994585303814,0.00412678,5.06627e-07,98,1.163261816637566,1.3505885297295588,STABLE
1.6e-09,30,0.2,38.75,34.875,0.05,0.0172081380245865,0.00839421367052998,0.00214105,1.87606e-07,99,1.1456849973144716,1.2609155539542403,STABLE
1.6e-09,30,0.2,45,4.5,0.0008,0.0138504525563745,0.846346593331185,0.0134602,5.52932e-05,100,1.972208370920976,1.6679447162549905,STABLE
1.6e-09,30,0.2,45,4.5,0.0131,0.013430741872848,0.176488342422893,0.00783467,3.43492e-08,101,1.561887383252131,1.4513322905518506,STABLE
1.6e-09,30,0.2,45,4.5,0.0254,0.0144800185816642,0.0541426781749184,0.00489757,1.35945e-07,102,1.3362675729741447,1.3745663522376224,STABLE
1.6e-09,30,0.2,45,4.5,0.0377,0.0163687166575335,0.0207756788345617,0.00305105,2.45573e-06,103,1.2828026868202094,1.264327422520267,STABLE
1.6e-09,30,0.2,45,4.5,0.05,0.0186771254169292,0.00356754080997524,0.00171636,5.93014e-06,104,1.2619474217337456,1.3079246299455405,STABLE
1.6e-09,30,0.2,45,13.5,0.0008,0.011751899138742,1.15357481367258,0.024456,6.7236e-05,105,2.5020112938457353,1.73994620814872,STABLE
1.6e-09,30,0.2,45,13.5,0.0131,0.0130110311893215,0.186771254169292,0.00886116,7.51652e-09,106,1.5563086441641112,1.5384847201407439,STABLE
1.6e-09,30,0.2,45,13.5,0.0254,0.0146898739234275,0.0581299296684201,0.00520387,5.47689e-08,107,1.336769895879316,1.4492925923055902,STABLE
1.6e-09,30,0.2,45,13.5,0.0377,0.0172081380245865,0.0226643769104309,0.00324099,2.87157e-06,108,1.284286016810774,1.315889902501503,STABLE
1.6e-09,30,0.2,45,13.5,0.05,0.0178377040498762,0.00566609422760774,0.00187344,8.10787e-07,109,1.2633243774620384,1.331646443782674,STABLE
1.6e-09,30,0.2,45,22.5,0.0008,NaN,NaN,NaN,NaN,110,-1,-1,STABLE
1.6e-09,30,0.2,45,22.5,0.0131,0.0128011758475582,0.191388071688084,0.0103891,7.84035e-09,111,1.5440165071905083,1.6657675584442422,STABLE
1.6e-09,30,0.2,45,22.5,0.0254,0.014270163239901,0.0625368918454484,0.00560117,1.54471e-07,112,1.3349024366083264,1.5276782301940324,STABLE
1.6e-09,30,0.2,45,22.5,0.0377,0.0163687166575335,0.0260220623786429,0.00343334,8.03846e-08,113,1.2845283137415036,1.367881857595464,STABLE
1.6e-09,30,0.2,45,22.5,0.05,0.0174179933663497,0.00755479230347698,0.00201821,2.63022e-07,114,1.2641280941103126,1.3054191611112158,STABLE
1.6e-09,30,0.2,45,31.5,0.0008,0.0111223331134522,1.81000232270803,0.111433,7.93044e-05,115,11.176566446436066,1.84477606604361,STABLE
1.6e-09,30,0.2,45,31.5,0.0131,0.0136405972146112,0.193486625105716,0.01316,2.21902e-08,116,1.5229189451733147,1.7743932748349742,STABLE
1.6e-09,30,0.2,45,31.5,0.0254,0.0163687166575335,0.0635861685542646,0.00619407,2.16456e-08,117,1.3293946136951542,1.6145213763241557,STABLE
1.6e-09,30,0.2,45,31.5,0.0377,0.0178377040498762,0.0281206157962754,0.00364525,1.20163e-06,118,1.283044983750939,1.4218019330476939,STABLE
1.6e-09,30,0.2,45,31.5,0.05,0.0174179933663497,0.010912477771689,0.00215346,2.41255e-06,119,1.2642167393288724,1.3296904611497156,STABLE
1.6e-09,30,0.2,45,40.5,0.0008,0.102199551438703,1.82301335389735,0.950501,7.94919e-05,120,107.16438665299182,1.941253897774137,GENERAL FAILURE
1.6e-09,30,0.2,45,40.5,0.0131,0.013430741872848,0.189289518270451,0.0205541,7.07953e-09,121,1.4889796458274487,1.8787972759782527,STABLE
1.6e-09,30,0.2,45,40.5,0.0254,0.0140603078981377,0.0667339986807133,0.00732584,7.89158e-08,122,1.317900283688588,1.7183118818436653,STABLE
1.6e-09,30,0.2,45,40.5,0.0377,0.0153194399487172,0.0306388798974344,0.00389382,1.25794e-06,123,1.2789436649722463,1.4777140417004306,STABLE
1.6e-09,30,0.2,45,40.5,0.05,0.017627848708113,0.0119617544805052,0.00225933,5.32747e-07,124,1.2631884547935806,1.3614567928902748,STABLE
1.6e-09,30,0.4,20,2,0.0008,0.0421809236944132,7.57116102013452,0.192072,4.32075e-08,125,24.19547011789741,0.40830394697639605,GENERAL FAILURE
1.6e-09,30,0.4,20,2,0.0131,0.0102829117463992,0.627677327213879,0.0160194,8.20495e-08,126,1.5622747396312546,1.039671187582741,STABLE
1.6e-09,30,0.4,20,2,0.0254,0.0123814651640317,0.14983671401896,0.00793528,6.80151e-07,127,1.0571373356903424,1.026037485742337,STABLE
1.6e-09,30,0.4,20,2,0.0377,0.014270163239901,0.0434400557449926,0.00447943,5.04838e-07,128,0.9329739875986016,1.0297195640574675,STABLE
1.6e-09,30,0.4,20,2,0.05,0.0188869807586925,0.00545623888584449,0.00222437,5.74409e-07,129,0.8960793669244942,1.0533318695595213,STABLE
1.6e-09,30,0.4,20,6,0.0008,0.0646354452630808,7.83725759349032,0.35524,1.61563e-08,130,36.5992240734067,0.40096602607764686,GENERAL FAILURE
1.6e-09,30,0.4,20,6,0.0131,0.00986320106287273,0.648872716731968,0.0176195,3.29361e-08,131,1.5633853571159484,1.0486721978680495,STABLE
1.6e-09,30,0.4,20,6,0.0254,0.0113321884552155,0.155502808246568,0.00844568,1.70194e-07,132,1.056058976804789,1.0338386003188462,STABLE
1.6e-09,30,0.4,20,6,0.0377,0.014270163239901,0.0457484645043884,0.00470004,3.8227e-07,133,0.9330707633960231,1.0367181601979814,STABLE
1.6e-09,30,0.4,20,6,0.05,0.018467270075166,0.00671537093642398,0.0023225,3.24879e-06,134,0.8962913520045602,1.053961436338612,STABLE
1.6e-09,30,0.4,20,10,0.0008,0.101569985413413,7.9447035284731,0.666715,1.47832e-08,135,54.94745442738608,0.3995359513186017,GENERAL FAILURE
1.6e-09,30,0.4,20,10,0.0131,0.010073056404636,0.668179408174187,0.0197495,4.18265e-08,136,1.5697449095179306,1.0531159160287773,STABLE
1.6e-09,30,0.4,20,10,0.0254,0.0115420437969787,0.161168902474176,0.00909584,2.69845e-07,137,1.0546626402991364,1.058974406775319,STABLE
1.6e-09,30,0.4,20,10,0.0377,0.015949005974007,0.0467977412132046,0.0049727,3.04283e-08,138,0.9329140787716264,1.0437734097356683,STABLE
1.6e-09,30,0.4,20,10,0.05,0.0172081380245865,0.00902377969581973,0.00243344,2.4496e-06,139,0.8964203864011222,1.054402581641871,STABLE
1.6e-09,30,0.4,20,14,0.0008,0.18404313472637,7.99045199297749,1.19548,8.52085e-08,140,93.5891086635163,0.39919080782520133,GENERAL FAILURE
1.6e-09,30,0.4,20,14,0.0131,0.0102829117463992,0.685597401540536,0.0228168,6.17413e-08,141,1.585058527367051,1.0612523631603552,STABLE
1.6e-09,30,0.4,20,14,0.0254,0.010912477771689,0.164106877258861,0.00996684,1.81825e-07,142,1.0529575429159963,1.049401928652158,STABLE
1.6e-09,30,0.4,20,14,0.0377,0.0161588613157702,0.0488962946308371,0.00532544,4.32931e-07,143,0.9325039337254116,1.0510866017444984,STABLE
1.6e-09,30,0.4,20,14,0.05,0.0178377040498762,0.0104927670881625,0.00256211,4.46227e-07,144,0.8964480366289569,1.0545660474927474,STABLE
1.6e-09,30,0.4,20,18,0.0008,0.339755798314701,7.65195532671337,2.30954,6.85966e-08,145,164.97370186437308,0.4189889725519697,GENERAL FAILURE
1.6e-09,30,0.4,20,18,0.0131,0.00986320106287273,0.705113948324518,0.0277554,1.97398e-08,146,1.6201558832319027,1.0959457558629244,STABLE
1.6e-09,30,0.4,20,18,0.0254,0.0107026224299257,0.170612392853522,0.0112207,5.4239e-08,147,1.050985159997121,1.0573024961364417,STABLE
1.6e-09,30,0.4,20,18,0.0377,0.0163687166575335,0.0524638354408124,0.00581028,1.1214e-06,148,0.9317988529156267,1.0590654981307939,STABLE
1.6e-09,30,0.4,20,18,0.05,0.0174179933663497,0.0113321884552155,0.0027214,1.03312e-06,149,0.8963650859454527,1.0544287262170124,STABLE
1.6e-09,30,0.4,26.25,2.625,0.0008,0.0119617544805052,5.66714350431655,0.0814214,3.73561e-08,150,9.146466949789323,1.1111725909182717,STABLE
1.6e-09,30,0.4,26.25,2.625,0.0131,0.0111223331134522,0.362630030566895,0.0131436,9.4912e-08,151,1.4138588127669958,1.1073348328828336,STABLE
1.6e-09,30,0.4,26.25,2.625,0.0254,0.0132208865310847,0.098422155286964,0.00696344,3.03323e-07,152,1.0770956626041372,1.0852274398027497,STABLE
1.6e-09,30,0.4,26.25,2.625,0.0377,0.0165785719992967,0.0266516284039327,0.00392041,2.34319e-07,153,0.988682889227999,1.0454663673801814,STABLE
1.6e-09,30,0.4,26.25,2.625,0.05,0.019306691442219,0.001678842734106,0.00180015,9.40129e-06,154,0.9628384008552462,1.1903536877479675,STABLE
1.6e-09,30,0.4,26.25,7.875,0.0008,0.0394528042514909,6.60456731597299,0.226469,1.33296e-08,155,24.99430329595486,0.6150104328048391,GENERAL FAILURE
1.6e-09,30,0.4,26.25,7.875,0.0131,0.00986320106287273,0.373752363680347,0.0144368,1.82835e-07,156,1.4062315249667243,1.1255297774570974,STABLE
1.6e-09,30,0.4,26.25,7.875,0.0254,0.0138504525563745,0.0994714319957803,0.00742677,4.72907e-07,157,1.0759086506120694,1.0942306105585469,STABLE
1.6e-09,30,0.4,26.25,7.875,0.0377,0.0180475593916395,0.0291698925050917,0.00411848,3.93436e-07,158,0.9890115247795219,1.0563330738124126,STABLE
1.6e-09,30,0.4,26.25,7.875,0.05,0.018467270075166,0.00251826410115899,0.00189808,1.20182e-06,159,0.9631130813162205,1.1902273291403298,STABLE
1.6e-09,30,0.4,26.25,13.125,0.0008,0.194745757156296,7.64838778590339,1.05422,2.57678e-08,160,122.60950976580597,0.5291973347728295,GENERAL FAILURE
