density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num
1.6e-09,30,0.4,45,13.5,0.025375,0,0,0.00449389,4.22011e-08,231
1.6e-09,30,0.4,45,13.5,0.05025,0,0,0.000905735,1.36012e-06,232
1.6e-09,30,0.4,45,13.5,0.075125,0,0,0,0,233
1.6e-09,30,0.4,45,13.5,0.1,0,0,0,0,234
1.6e-09,30,0.4,45,22.5,0.0005,0,0,0.0307689,5.19522e-05,235
1.6e-09,30,0.4,45,22.5,0.025375,0,0,0.00484645,9.62645e-08,236
1.6e-09,30,0.4,45,22.5,0.05025,0,0,0.00110229,3.36683e-06,237
1.6e-09,30,0.4,45,22.5,0.075125,0,0,0,0,238
1.6e-09,30,0.4,45,22.5,0.1,0,0,0,0,239
1.6e-09,30,0.4,45,31.5,0.0005,0,2.99022876478454,0.0516311,5.13211e-05,240
1.6e-09,30,0.4,45,31.5,0.025375,0,0,0.00534943,4.54745e-08,241
1.6e-09,30,0.4,45,31.5,0.05025,0,0,0.00126499,3.29486e-06,242
1.6e-09,30,0.4,45,31.5,0.075125,0,0,0,0,243
1.6e-09,30,0.4,45,31.5,0.1,0,0,0,0,244
1.6e-09,30,0.4,45,40.5,0.0005,0.102619262122229,4.48397908745535,0.32743,4.85355e-05,245
1.6e-09,30,0.4,45,40.5,0.025375,0,0,0.00621135,1.4111e-08,246
1.6e-09,30,0.4,45,40.5,0.05025,0,0,0.00138969,2.83464e-07,247
1.6e-09,30,0.4,45,40.5,0.075125,0,0,0,0,248
1.6e-09,30,0.4,45,40.5,0.1,0,0,0,0,249
2.4e-09,30,0.2,20,2,0.0005,0.153404254828935,18.7467973903946,0.265327,5.50114e-08,250
2.4e-09,30,0.2,20,2,0.025375,0,0,0.0178291,7.98389e-08,251
2.4e-09,30,0.2,20,2,0.05025,0,0,0.00780381,8.47378e-07,252
2.4e-09,30,0.2,20,2,0.075125,0,0,0.003045,2.73856e-06,253
2.4e-09,30,0.2,20,2,0.1,0,0,0.000114742,9.50201e-06,254
2.4e-09,30,0.2,20,6,0.0005,0.180685449258158,18.6790141150051,0.349353,9.60462e-08,255
2.4e-09,30,0.2,20,6,0.025375,0,0,0.0188073,3.03697e-08,256
2.4e-09,30,0.2,20,6,0.05025,0,0,0.00810311,2.08429e-07,257
2.4e-09,30,0.2,20,6,0.075125,0,0,0.00315298,1.40858e-06,258
2.4e-09,30,0.2,20,6,0.1,0,0,0.000180345,2.95954e-05,259
2.4e-09,30,0.2,20,10,0.0005,0.254344674217058,19.3304050958382,0.601106,4.29015e-09,260
2.4e-09,30,0.2,20,10,0.025375,0,0,0.0199325,8.25449e-08,261
2.4e-09,30,0.2,20,10,0.05025,0,0,0.00843617,7.78783e-07,262
2.4e-09,30,0.2,20,10,0.075125,0,0,0.00325908,3.6692e-07,263
2.4e-09,30,0.2,20,10,0.1,0,0,0.000235907,4.55849e-05,264
2.4e-09,30,0.2,20,14,0.0005,0.822213229028412,21.6562318486003,2.08956,5.75391e-07,265
2.4e-09,30,0.2,20,14,0.025375,0,0,0.0212617,1.81899e-07,266
2.4e-09,30,0.2,20,14,0.05025,0,0,0.00881257,1.16421e-06,267
2.4e-09,30,0.2,20,14,0.075125,0,0,0.00336616,1.89147e-07,268
2.4e-09,30,0.2,20,14,0.1,0,0,0.000281722,5.89113e-05,269
2.4e-09,30,0.2,20,18,0.0005,0.814448581383171,21.0035817357166,2.69466,1.31032e-07,270
2.4e-09,30,0.2,20,18,0.025375,0,0,0.0228728,2.83112e-07,271
2.4e-09,30,0.2,20,18,0.05025,0,0,0.00924885,5.97294e-07,272
2.4e-09,30,0.2,20,18,0.075125,0,0,0.00347493,1.91911e-06,273
2.4e-09,30,0.2,20,18,0.1,0,0,0.00031785,6.94495e-05,274
2.4e-09,30,0.2,26.25,2.625,0.0005,0,11.2986116005334,0.0649109,8.99927e-08,275
2.4e-09,30,0.2,26.25,2.625,0.025375,0,0,0.0152907,7.66169e-08,276
2.4e-09,30,0.2,26.25,2.625,0.05025,0,0,0.00679082,1.38696e-06,277
2.4e-09,30,0.2,26.25,2.625,0.075125,0,0,0.0025935,5.34853e-07,278
2.4e-09,30,0.2,26.25,2.625,0.1,0,0,0,0,279
2.4e-09,30,0.2,26.25,7.875,0.0005,0,12.7650807287749,0.0896347,7.97888e-09,280
2.4e-09,30,0.2,26.25,7.875,0.025375,0,0,0.0162914,2.49252e-07,281
2.4e-09,30,0.2,26.25,7.875,0.05025,0,0,0.00709599,7.71326e-07,282
2.4e-09,30,0.2,26.25,7.875,0.075125,0,0,0.00271347,1.05348e-06,283
2.4e-09,30,0.2,26.25,7.875,0.1,0,0,1.95091e-05,4.41217e-06,284
2.4e-09,30,0.2,26.25,13.125,0.0005,0.201251272750956,17.4463238374877,0.362451,3.82429e-07,285
2.4e-09,30,0.2,26.25,13.125,0.025375,0,0,0.0174886,3.36396e-07,286
2.4e-09,30,0.2,26.25,13.125,0.05025,0,0,0.00743952,9.87841e-07,287
2.4e-09,30,0.2,26.25,13.125,0.075125,0,0,0.00282909,5.90683e-06,288
2.4e-09,30,0.2,26.25,13.125,0.1,0,0,0.000114607,1.15746e-05,289
2.4e-09,30,0.2,26.25,18.375,0.0005,0.855999939052295,19.8380451675635,2.12577,8.8144e-08,290
2.4e-09,30,0.2,26.25,18.375,0.025375,0,0,0.0189825,7.57734e-08,291
2.4e-09,30,0.2,26.25,18.375,0.05025,0,0,0.00784152,1.24305e-06,292
2.4e-09,30,0.2,26.25,18.375,0.075125,0,0,0.00294679,2.72352e-06,293
2.4e-09,30,0.2,26.25,18.375,0.1,0,0,0.000192636,3.49903e-05,294
2.4e-09,30,0.2,26.25,23.625,0.0005,0.394528042514909,17.4274368567291,0.870595,2.97919e-09,295
2.4e-09,30,0.2,26.25,23.625,0.025375,0,0,0.0209388,2.44417e-08,296
2.4e-09,30,0.2,26.25,23.625,0.05025,0,0,0.00832899,6.71322e-07,297
